vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,1,4,0.313,0.00107332190964371,0.301,-29.9355068206787,0.301,7.83512830734253,4,0.301,0.00101782463025302,0.289,-30.1863384246826,0.289,7.58429718017578
1,1,1,1,4.36203093066103,0.313,0.000749599479604512,0.301,-31.5124092102051,0.301,5.62567377090454,4.5,0.301,0.00062838225858286,0.289,-32.3346176147461,0.289,4.41440486907959
1,1,1,1,4.75682846001088,0.313,0.000542868510819972,0.301,-32.8386497497559,0.301,3.18516898155212,5,0.301,0.000456010893685743,0.289,-33.6137504577637,0.289,1.85903513431549
1,1,1,1,5.18735821860404,0.313,0.000420583091909066,0.301,-33.7572746276855,0.301,1.42560863494873,5.5,0.301,0.000381913501769304,0.289,-34.174430847168,0.289,0.797234177589417
1,1,1,1,5.65685424949238,0.313,0.000349890702636912,0.301,-34.3476524353027,0.301,0.636451244354248,6,0.301,0.000345349864801392,0.289,-34.4649963378906,0.289,0.776208758354187
1,1,1,1,6.16884330163176,0.313,0.000309459021082148,0.301,-34.7509460449219,0.301,0.712336480617523,6.5,0.301,0.000319946935633197,0.289,-34.7450828552246,0.289,1.29233837127686
1,1,1,1,6.72717132202972,0.313,0.000281502027064562,0.301,-35.1332893371582,0.301,1.37967479228973,7,0.301,0.000292846176307648,0.289,-35.1424522399902,0.289,2.00540280342102
1,1,1,1,7.33603234563737,0.313,0.000250481389230117,0.301,-35.6859931945801,0.301,2.31221318244934,7.5,0.301,0.0002593127428554,0.289,-35.7184677124023,0.289,2.71408152580261
1,1,1,1,8,0.313,0.000208420635317452,0.301,-36.5808372497559,0.301,3.22084021568298,8,0.301,0.000220102301682346,0.289,-36.4985275268555,0.289,3.30314779281616
1,1,1,2,4,0.313,0.00234243576414883,0.301,-26.4240417480469,0.301,9.67026233673096,4,0.313,0.00234243576414883,0.301,-26.4240417480469,0.301,9.67026233673096
1,1,1,2,4.36203093066103,0.313,0.00244130683131516,0.301,-26.1873817443848,0.301,11.4922761917114,4.5,0.313,0.00242891418747604,0.301,-26.197114944458,0.301,12.1804122924805
1,1,1,2,4.75682846001088,0.313,0.00235545611940324,0.301,-26.3165149688721,0.301,13.3270807266235,5,0.313,0.0022434766869992,0.301,-26.5221138000488,0.301,14.0890216827393
1,1,1,2,5.18735821860404,0.313,0.00213876902125776,0.301,-26.7278747558594,0.301,14.3643236160278,5.5,0.313,0.00194242282304913,0.301,-27.1446704864502,0.301,14.2026357650757
1,1,1,2,5.65685424949238,0.313,0.00183796125929803,0.301,-27.3833923339844,0.301,13.898175239563,6,0.313,0.00160451314877719,0.301,-27.965181350708,0.301,12.9817724227905
1,1,1,2,6.16884330163176,0.313,0.00149005744606256,0.301,-28.2786884307861,0.301,12.4894094467163,6.5,0.313,0.00127202551811934,0.301,-28.9405994415283,0.301,11.553656578064
1,1,1,2,6.72717132202972,0.313,0.00113036693073809,0.301,-29.4279041290283,0.301,10.960205078125,7,0.313,0.00097152340458706,0.301,-30.0459079742432,0.301,10.3034543991089
1,1,1,2,7.33603234563737,0.313,0.000795473286416382,0.301,-30.8522396087646,0.301,9.56311321258545,7.5,0.313,0.000717953953426331,0.301,-31.2624053955078,0.301,9.22165393829346
1,1,1,2,8,0.313,0.000515838095452636,0.301,-32.5735130310059,0.301,8.22418117523193,8,0.313,0.000515838095452636,0.301,-32.5735130310059,0.301,8.22418117523193
1,1,1,3,4,0.421,0.000752732215914875,0.385,-31.8925914764404,0.385,3.99092221260071,4,0.421,0.000752732215914875,0.385,-31.8925914764404,0.385,3.99092221260071
1,1,1,3,4.36203093066103,0.421,0.000640630431007594,0.385,-32.7513160705566,0.385,3.91672134399414,4.5,0.421,0.000604293949436396,0.385,-33.0527381896973,0.385,3.96464490890503
1,1,1,3,4.75682846001088,0.421,0.000543017988093197,0.385,-33.5713500976562,0.385,4.1423864364624,5,0.421,0.000488849706016481,0.385,-34.0338859558105,0.385,4.37484407424927
1,1,1,3,5.18735821860404,0.421,0.000447586382506415,0.385,-34.3937187194824,0.385,4.56604814529419,5.5,0.421,0.000377717486117035,0.385,-35.0431632995605,0.385,4.85274267196655
1,1,1,3,5.65685424949238,0.421,0.000342247541993856,0.385,-35.4036102294922,0.385,4.96128845214844,6,0.421,0.000265741866314784,0.385,-36.2833976745605,0.385,5.06711578369141
1,1,1,3,6.16884330163176,0.421,0.000229866855079308,0.385,-36.7582588195801,0.385,5.03689622879028,6.5,0.421,0.000165791207109578,0.385,-37.743724822998,0.385,4.80237865447998
1,1,1,3,6.72717132202972,0.421,0.00012812516069971,0.385,-38.4345779418945,0.385,4.51799631118774,7,0.421,9.0722598542925e-05,0.385,-39.2396659851074,0.385,4.08608675003052
1,1,1,3,7.33603234563737,0.421,5.67089700780343e-05,0.385,-40.1241035461426,0.385,3.52159261703491,7.5,0.421,4.47063102910761e-05,0.385,-40.485710144043,0.385,3.27593445777893
1,1,1,3,8,0.421,2.38955308304867e-05,0.385,-41.1849098205566,0.385,2.83713507652283,8,0.421,2.38955308304867e-05,0.385,-41.1849098205566,0.385,2.83713507652283
1,1,1,4,4,0.421,0.000334339856635779,0.421,-34.7719612121582,0.421,-3.71362638473511,4,0.421,0.000334339856635779,0.421,-34.7719612121582,0.421,-3.71362638473511
1,1,1,4,4.36203093066103,0.421,0.000313813361572102,0.421,-35.0355606079102,0.421,-3.05877804756165,4.5,0.421,0.000306300353258848,0.421,-35.1393699645996,0.421,-2.69933843612671
1,1,1,4,4.75682846001088,0.421,0.000294232420856133,0.421,-35.3138275146484,0.421,-1.92290318012238,5,0.421,0.000284631794784218,0.421,-35.4586944580078,0.421,-1.11590993404388
1,1,1,4,5.18735821860404,0.421,0.000277471437584609,0.421,-35.569709777832,0.421,-0.484876364469528,5.5,0.421,0.000263727124547586,0.421,-35.7902755737305,0.421,0.523361563682556
1,1,1,4,5.65685424949238,0.421,0.000255296210525557,0.421,-35.9311866760254,0.421,0.990105509757996,6,0.421,0.000232449892791919,0.421,-36.3378868103027,0.421,1.88859188556671
1,1,1,4,6.16884330163176,0.421,0.000219086316064931,0.421,-36.5948486328125,0.421,2.26096558570862,6.5,0.421,0.000189800557564013,0.421,-37.2177467346191,0.421,2.84460878372192
1,1,1,4,6.72717132202972,0.421,0.000168302096426487,0.421,-37.7396583557129,0.421,3.12603807449341,7,0.421,0.000142211414640769,0.421,-38.471019744873,0.421,3.32934021949768
1,1,1,4,7.33603234563737,0.421,0.000111378729343414,0.421,-39.5322685241699,0.421,3.3692193031311,7.5,0.421,9.73783753579482e-05,0.421,-40.1157875061035,0.421,3.30158042907715
1,1,1,4,8,0.421,6.0741094785044e-05,0.421,-42.1679763793945,0.421,2.73056983947754,8,0.421,6.0741094785044e-05,0.421,-42.1679763793945,0.421,2.73056983947754
1,1,1,5,4,0.421,0.000659018580336124,0.421,-31.9595584869385,0.421,6.71106290817261,4,0.421,0.000659018580336124,0.421,-31.9595584869385,0.421,6.71106290817261
1,1,1,5,4.36203093066103,0.421,0.000883344677276909,0.421,-30.6262054443359,0.421,7.54542064666748,4.5,0.421,0.000964757229667157,0.421,-30.2255096435547,0.421,7.95578002929688
1,1,1,5,4.75682846001088,0.421,0.00107261748053133,0.421,-29.7419338226318,0.421,8.64501094818115,5,0.421,0.00110256788320839,0.421,-29.6087341308594,0.421,9.10944652557373
1,1,1,5,5.18735821860404,0.421,0.00107602984644473,0.421,-29.7076759338379,0.421,9.29833793640137,5.5,0.421,0.000955764786340296,0.421,-30.2153034210205,0.421,9.2238597869873
1,1,1,5,5.65685424949238,0.421,0.000872387085109949,0.421,-30.6095409393311,0.421,8.98860454559326,6,0.421,0.000672822003252804,0.421,-31.7350044250488,0.421,8.03210544586182
1,1,1,5,6.16884330163176,0.421,0.000577671744395047,0.421,-32.3967628479004,0.421,7.37392425537109,6.5,0.421,0.000413748610299081,0.421,-33.8468894958496,0.421,5.84754467010498
1,1,1,5,6.72717132202972,0.421,0.000322817155392841,0.421,-34.9265518188477,0.421,4.70257902145386,7,0.421,0.000236507577938028,0.421,-36.2821998596191,0.421,3.30235528945923
1,1,1,5,7.33603234563737,0.421,0.000159453644300811,0.421,-38.0059623718262,0.421,1.61392056941986,7.5,0.421,0.000131254477309994,0.421,-38.8610877990723,0.421,0.818535804748535
1,1,1,5,8,0.421,7.22834738553502e-05,0.421,-41.5184516906738,0.421,-1.48455417156219,8,0.421,7.22834738553502e-05,0.421,-41.5184516906738,0.421,-1.48455417156219
1,1,1,6,4,0.277,0.000299468665616587,0.277,-35.2387046813965,0.277,5.74499654769897,4,0.277,0.000299468665616587,0.277,-35.2387046813965,0.277,5.74499654769897
1,1,1,6,4.36203093066103,0.277,0.000290160678559914,0.277,-35.3739051818848,0.277,6.69204235076904,4.5,0.277,0.000277736369753256,0.277,-35.5649147033691,0.277,6.74960851669312
1,1,1,6,4.75682846001088,0.277,0.000248452299274504,0.277,-36.0512428283691,0.277,6.46533727645874,5,0.277,0.000218450077227317,0.277,-36.611686706543,0.277,5.87037420272827
1,1,1,6,5.18735821860404,0.277,0.000196321183466353,0.277,-37.075569152832,0.277,5.32079935073853,5.5,0.277,0.000164287557709031,0.277,-37.8474540710449,0.277,4.4440541267395
1,1,1,6,5.65685424949238,0.277,0.000151151194586419,0.277,-38.2083320617676,0.277,4.08466005325317,6,0.277,0.000129664811538532,0.277,-38.8734741210938,0.277,3.58722043037415
1,1,1,6,6.16884330163176,0.277,0.000122512137750164,0.277,-39.1205673217773,0.277,3.50567603111267,6.5,0.277,0.000113871821667999,0.277,-39.4404792785645,0.277,3.64839959144592
