vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,1,4,0.421,0.00140422803815454,0.421,-28.5261402130127,0.421,9.24449157714844,4,0.421,0.00140422803815454,0.421,-28.5261402130127,0.421,9.24449157714844
1,1,1,1,4.36203093066103,0.421,0.000883766799233854,0.421,-30.5366230010986,0.421,6.6014552116394,4.5,0.373,0.00073681358480826,0.373,-31.3264636993408,0.373,5.42255830764771
1,1,1,1,4.75682846001088,0.337,0.000559133884962648,0.337,-32.5251045227051,0.337,3.49871492385864,5,0.313,0.000464618380647153,0.313,-33.3299751281738,0.313,2.14280962944031
1,1,1,1,5.18735821860404,0.301,0.000421167555032298,0.301,-33.7572746276855,0.301,1.42560863494873,5.5,0.289,0.000382671452825889,0.289,-34.174430847168,0.289,0.797234177589417
1,1,1,1,5.65685424949238,0.289,0.000373530056094751,0.289,-34.2786827087402,0.289,0.705420613288879,6,0.289,0.000357953744241968,0.289,-34.4649963378906,0.289,0.776208758354187
1,1,1,1,6.16884330163176,0.277,0.000352548260707408,0.277,-34.5305671691895,0.277,0.932713866233826,6.5,0.277,0.00033919743145816,0.277,-34.697681427002,0.277,1.33973872661591
1,1,1,1,6.72717132202972,0.277,0.000326849840348586,0.277,-34.8586845397949,0.277,1.6542751789093,7,0.277,0.000308653368847445,0.277,-35.1076278686523,0.277,2.04022598266602
1,1,1,1,7.33603234563737,0.277,0.000281941320281476,0.277,-35.5013427734375,0.277,2.49686789512634,7.5,0.289,0.000268184929154813,0.289,-35.7184677124023,0.289,2.71408152580261
1,1,1,1,8,0.289,0.000224032162805088,0.289,-36.4985275268555,0.289,3.30314779281616,8,0.289,0.000224032162805088,0.289,-36.4985275268555,0.289,3.30314779281616
1,1,1,2,4,0.373,0.00250881421379745,0.373,-26.0053768157959,0.373,10.0889225006104,4,0.373,0.00250881421379745,0.373,-26.0053768157959,0.373,10.0889225006104
1,1,1,2,4.36203093066103,0.337,0.0024637111928314,0.337,-26.0842037200928,0.337,11.5954513549805,4.5,0.325,0.00243893591687083,0.325,-26.1280860900879,0.325,12.2494421005249
1,1,1,2,4.75682846001088,0.313,0.00235545611940324,0.313,-26.2794437408447,0.313,13.3641529083252,5,0.313,0.0022434766869992,0.313,-26.4909839630127,0.313,14.120153427124
1,1,1,2,5.18735821860404,0.313,0.00213876902125776,0.313,-26.6986064910889,0.313,14.393593788147,5.5,0.313,0.00194242282304913,0.313,-27.1169013977051,0.313,14.2304029464722
1,1,1,2,5.65685424949238,0.313,0.00183796125929803,0.313,-27.3570365905762,0.313,13.9245300292969,6,0.313,0.00160451314877719,0.313,-27.9471549987793,0.313,12.9998006820679
1,1,1,2,6.16884330163176,0.313,0.00149005744606256,0.313,-28.2687206268311,0.313,12.4993801116943,6.5,0.301,0.00127650715876371,0.301,-28.9405994415283,0.301,11.553656578064
1,1,1,2,6.72717132202972,0.301,0.0011409951839596,0.301,-29.4279041290283,0.301,10.960205078125,7,0.301,0.000989737804047763,0.301,-30.0459079742432,0.301,10.3034543991089
1,1,1,2,7.33603234563737,0.289,0.000829460681416094,0.289,-30.8133201599121,0.289,9.60203266143799,7.5,0.289,0.000761068833526224,0.289,-31.1871585845947,0.289,9.29689979553223
1,1,1,2,8,0.277,0.000589093600865453,0.277,-32.3005599975586,0.277,8.49713325500488,8,0.277,0.000589093600865453,0.277,-32.3005599975586,0.277,8.49713325500488
1,1,1,3,4,0.421,0.000752732215914875,0.421,-31.2370319366455,0.421,4.64648485183716,4,0.421,0.000752732215914875,0.421,-31.2370319366455,0.421,4.64648485183716
1,1,1,3,4.36203093066103,0.421,0.000640630431007594,0.421,-31.939022064209,0.421,4.72901391983032,4.5,0.421,0.000604293949436396,0.421,-32.1930656433105,0.421,4.82431793212891
1,1,1,3,4.75682846001088,0.421,0.000543017988093197,0.421,-32.6577644348145,0.421,5.05597734451294,5,0.421,0.000488849706016481,0.421,-33.1139259338379,0.421,5.29480457305908
1,1,1,3,5.18735821860404,0.421,0.000447586382506415,0.421,-33.4964485168457,0.421,5.4633207321167,5.5,0.421,0.000377717486117035,0.421,-34.2323570251465,0.421,5.6635479927063
1,1,1,3,5.65685424949238,0.421,0.000342247541993856,0.421,-34.6598625183105,0.421,5.70504140853882,6,0.421,0.000265741866314784,0.421,-35.756721496582,0.421,5.59379243850708
1,1,1,3,6.16884330163176,0.421,0.000229866855079308,0.421,-36.385669708252,0.421,5.40948581695557,6.5,0.397,0.000168951315572485,0.397,-37.7227973937988,0.397,4.82330656051636
1,1,1,3,6.72717132202972,0.373,0.000144646852277219,0.373,-38.3986015319824,0.373,4.55397081375122,7,0.361,0.000127781604533084,0.361,-38.9388999938965,0.361,4.3868556022644
1,1,1,3,7.33603234563737,0.361,0.000116638722829521,0.361,-39.3393859863281,0.361,4.30630588531494,7.5,0.349,0.000113751972094178,0.349,-39.4498252868652,0.349,4.31181669235229
1,1,1,3,8,0.349,0.000111470297269989,0.349,-39.5390014648438,0.349,4.48304224014282,8,0.349,0.000111470297269989,0.349,-39.5390014648438,0.349,4.48304224014282
1,1,1,4,4,0.361,0.000380389305064455,0.361,-34.1978874206543,0.361,-3.13955473899841,4,0.361,0.000380389305064455,0.361,-34.1978874206543,0.361,-3.13955473899841
1,1,1,4,4.36203093066103,0.409,0.000318144710035995,0.409,-34.9742660522461,0.409,-2.99747824668884,4.5,0.409,0.000306689413264394,0.409,-35.1336822509766,0.409,-2.69364953041077
1,1,1,4,4.75682846001088,0.421,0.000294232420856133,0.421,-35.3138275146484,0.421,-1.92290318012238,5,0.421,0.000284631794784218,0.421,-35.4586944580078,0.421,-1.11590993404388
1,1,1,4,5.18735821860404,0.421,0.000277471437584609,0.421,-35.569709777832,0.421,-0.484876364469528,5.5,0.421,0.000263727124547586,0.421,-35.7902755737305,0.421,0.523361563682556
1,1,1,4,5.65685424949238,0.421,0.000255296210525557,0.421,-35.9311866760254,0.421,0.990105509757996,6,0.421,0.000232449892791919,0.421,-36.3378868103027,0.421,1.88859188556671
1,1,1,4,6.16884330163176,0.421,0.000219086316064931,0.421,-36.5948486328125,0.421,2.26096558570862,6.5,0.421,0.000189800557564013,0.421,-37.2177467346191,0.421,2.84460878372192
1,1,1,4,6.72717132202972,0.421,0.000168302096426487,0.421,-37.7396583557129,0.421,3.12603807449341,7,0.421,0.000142211414640769,0.421,-38.471019744873,0.421,3.32934021949768
1,1,1,4,7.33603234563737,0.421,0.000111378729343414,0.421,-39.5322685241699,0.421,3.3692193031311,7.5,0.421,9.73783753579482e-05,0.421,-40.1157875061035,0.421,3.30158042907715
1,1,1,4,8,0.361,6.70130611979403e-05,0.361,-41.740062713623,0.361,3.1584804058075,8,0.361,6.70130611979403e-05,0.361,-41.740062713623,0.361,3.1584804058075
1,1,1,5,4,0.421,0.000659018580336124,0.421,-31.9595584869385,0.421,6.71106290817261,4,0.421,0.000659018580336124,0.421,-31.9595584869385,0.421,6.71106290817261
1,1,1,5,4.36203093066103,0.421,0.000883344677276909,0.421,-30.6262054443359,0.421,7.54542064666748,4.5,0.421,0.000964757229667157,0.421,-30.2255096435547,0.421,7.95578002929688
1,1,1,5,4.75682846001088,0.421,0.00107261748053133,0.421,-29.7419338226318,0.421,8.64501094818115,5,0.421,0.00110256788320839,0.421,-29.6087341308594,0.421,9.10944652557373
1,1,1,5,5.18735821860404,0.421,0.00107602984644473,0.421,-29.7076759338379,0.421,9.29833793640137,5.5,0.421,0.000955764786340296,0.421,-30.2153034210205,0.421,9.2238597869873
1,1,1,5,5.65685424949238,0.421,0.000872387085109949,0.421,-30.6095409393311,0.421,8.98860454559326,6,0.421,0.000672822003252804,0.421,-31.7350044250488,0.421,8.03210544586182
1,1,1,5,6.16884330163176,0.277,0.000607000023592263,0.277,-32.1708717346191,0.277,7.59981489181519,6.5,0.277,0.000542055466212332,0.277,-32.6682243347168,0.277,7.02620935440063
1,1,1,5,6.72717132202972,0.277,0.000490910897497088,0.277,-33.1047096252441,0.277,6.5244288444519,7,0.277,0.000427827995736152,0.277,-33.7113456726074,0.277,5.87321186065674
1,1,1,5,7.33603234563737,0.277,0.000352841045241803,0.277,-34.5622940063477,0.277,5.05759000778198,7.5,0.277,0.000318525329930708,0.277,-35.0144081115723,0.277,4.66521835327148
1,1,1,5,8,0.277,0.000226094067329541,0.277,-36.5301513671875,0.277,3.50374579429626,8,0.277,0.000226094067329541,0.277,-36.5301513671875,0.277,3.50374579429626
1,1,1,6,4,0.313,0.000312557502184063,0.313,-35.0508651733398,0.313,5.93283796310425,4,0.313,0.000312557502184063,0.313,-35.0508651733398,0.313,5.93283796310425
1,1,1,6,4.36203093066103,0.277,0.000290160678559914,0.277,-35.3739051818848,0.277,6.69204235076904,4.5,0.277,0.000277736369753256,0.277,-35.5649147033691,0.277,6.74960851669312
1,1,1,6,4.75682846001088,0.277,0.000248452299274504,0.277,-36.0512428283691,0.277,6.46533727645874,5,0.277,0.000218450077227317,0.277,-36.611686706543,0.277,5.87037420272827
1,1,1,6,5.18735821860404,0.277,0.000196321183466353,0.277,-37.075569152832,0.277,5.32079935073853,5.5,0.277,0.000164287557709031,0.277,-37.8474540710449,0.277,4.4440541267395
1,1,1,6,5.65685424949238,0.277,0.000151151194586419,0.277,-38.2083320617676,0.277,4.08466005325317,6,0.277,0.000129664811538532,0.277,-38.8734741210938,0.277,3.58722043037415
1,1,1,6,6.16884330163176,0.277,0.000122512137750164,0.277,-39.1205673217773,0.277,3.50567603111267,6.5,0.277,0.000113871821667999,0.277,-39.4404792785645,0.277,3.64839959144592
1,1,1,6,6.72717132202972,0.277,0.00011110012565041,0.277,-39.548942565918,0.277,3.93827748298645,7,0.277,0.000109932399936952,0.277,-39.5959854125977,0.277,4.41642713546753
1,1,1,6,7.33603234563737,0.277,0.000110039247374516,0.277,-39.592716217041,0.277,5.06471252441406,7.5,0.277,0.000110186287201941,0.277,-39.5875015258789,0.277,5.35745334625244
1,1,1,6,8,0.289,0.000110467597551178,0.289,-39.575008392334,0.289,6.03870677947998,8,0.289,0.000110467597551178,0.289,-39.575008392334,0.289,6.03870677947998
