vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,1,4,0.313,0.00107332190964371,0.305,-29.8558712005615,0.305,7.9147629737854,4,0.309,0.00105502095539123,0.301,-29.9355068206787,0.301,7.83512830734253
1,1,1,1,4.36203093066103,0.313,0.000749599479604512,0.305,-31.4238605499268,0.305,5.71422100067139,4.5,0.309,0.000652262184303254,0.301,-32.0328140258789,0.301,4.71620464324951
1,1,1,1,4.75682846001088,0.313,0.000542868510819972,0.305,-32.7686538696289,0.305,3.25516295433044,5,0.309,0.00046294232015498,0.301,-33.4149703979492,0.301,2.0578145980835
1,1,1,1,5.18735821860404,0.313,0.000420583091909066,0.305,-33.745418548584,0.305,1.4374657869339,5.5,0.309,0.000374389841454104,0.301,-34.1836090087891,0.301,0.788053512573242
1,1,1,1,5.65685424949238,0.313,0.000349890702636912,0.305,-34.4074058532715,0.305,0.576701521873474,6,0.309,0.000329899979988113,0.301,-34.6328048706055,0.301,0.608402848243713
1,1,1,1,6.16884330163176,0.313,0.000309459021082148,0.305,-34.8595085144043,0.305,0.603775501251221,6.5,0.309,0.000302684551570565,0.301,-34.972053527832,0.301,1.06536817550659
1,1,1,1,6.72717132202972,0.313,0.000281502027064562,0.305,-35.2530860900879,0.305,1.25987887382507,7,0.309,0.000277677259873599,0.301,-35.3544235229492,0.301,1.79343223571777
1,1,1,1,7.33603234563737,0.313,0.000250481389230117,0.305,-35.7875518798828,0.305,2.21065473556519,7.5,0.309,0.00024804423446767,0.301,-35.8759346008301,0.301,2.55660772323608
1,1,1,1,8,0.313,0.000208420635317452,0.305,-36.645679473877,0.305,3.15599870681763,8,0.309,0.000213172068470158,0.301,-36.5808372497559,0.301,3.22084021568298
1,1,1,2,4,0.317,0.0023618433624506,0.309,-26.343729019165,0.309,9.75057411193848,4,0.313,0.00234243576414883,0.305,-26.3831310272217,0.305,9.71117210388184
1,1,1,2,4.36203093066103,0.317,0.00244963122531772,0.309,-26.1424045562744,0.309,11.5372552871704,4.5,0.313,0.00242891418747604,0.305,-26.1766567230225,0.305,12.2008695602417
1,1,1,2,4.75682846001088,0.317,0.00235711340792477,0.309,-26.2872333526611,0.309,13.3563623428345,5,0.313,0.0022434766869992,0.305,-26.5062122344971,0.305,14.104926109314
