vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,1,4,0.456,0.00143397704232484,0.456,-28.434627532959,0.456,9.33600997924805,4,0.456,0.00143397704232484,0.456,-28.434627532959,0.456,9.33600997924805
1,1,1,1,4.36203093066103,0.416,0.000883987813722342,0.416,-30.5355396270752,0.416,6.60254240036011,4.5,0.376,0.000737395719625056,0.376,-31.3230171203613,0.376,5.42600440979004
1,1,1,1,4.75682846001088,0.34,0.000559943378902972,0.34,-32.5187759399414,0.34,3.50504207611084,5,0.32,0.000466248457087204,0.32,-33.3144378662109,0.32,2.15834832191467
1,1,1,1,5.18735821860404,0.312,0.000422927987528965,0.312,-33.7386245727539,0.312,1.44425904750824,5.5,0.3,0.000384581566322595,0.3,-34.1520538330078,0.3,0.819610059261322
1,1,1,1,5.65685424949238,0.296,0.000374105700757354,0.296,-34.2722778320312,0.296,0.711826682090759,6,0.288,0.000360483478289098,0.288,-34.4330520629883,0.288,0.808152794837952
1,1,1,1,6.16884330163176,0.288,0.000353744922904298,0.288,-34.5155868530273,0.288,0.947692275047302,6.5,0.284,0.000340604427037761,0.284,-34.6792793273926,0.284,1.35813891887665
1,1,1,1,6.72717132202972,0.284,0.00032818442559801,0.284,-34.8405838012695,0.284,1.67237746715546,7,0.288,0.000308974646031857,0.288,-35.103515625,0.288,2.04434037208557
1,1,1,1,7.33603234563737,0.288,0.000283619971014559,0.288,-35.4745941162109,0.288,2.52361416816711,7.5,0.292,0.000268638279521838,0.292,-35.7112579345703,0.292,2.72128891944885
1,1,1,1,8,0.296,0.000224019415327348,0.296,-36.4994163513184,0.296,3.30226039886475,8,0.296,0.000224019415327348,0.296,-36.4994163513184,0.296,3.30226039886475
1,1,1,2,4,0.376,0.00251050340011716,0.376,-26.0024490356445,0.376,10.0918531417847,4,0.376,0.00251050340011716,0.376,-26.0024490356445,0.376,10.0918531417847
1,1,1,2,4.36203093066103,0.34,0.00246476894244552,0.34,-26.0823402404785,0.34,11.5973148345947,4.5,0.332,0.00243926676921546,0.332,-26.1275234222412,0.332,12.2500057220459
1,1,1,2,4.75682846001088,0.324,0.00235777860507369,0.324,-26.2751350402832,0.324,13.3684587478638,5,0.32,0.00224507809616625,0.32,-26.4878940582275,0.32,14.1232414245605
1,1,1,2,5.18735821860404,0.32,0.00213904911652207,0.32,-26.6981105804443,0.32,14.3940887451172,5.5,0.316,0.0019453268032521,0.316,-27.1103687286377,0.316,14.2369337081909
1,1,1,2,5.65685424949238,0.316,0.00184065394569188,0.316,-27.3506393432617,0.316,13.9309234619141,6,0.316,0.00160641968250275,0.316,-27.9419975280762,0.316,13.0049571990967
1,1,1,2,6.16884330163176,0.312,0.00149505469016731,0.312,-28.253885269165,0.312,12.514214515686,6.5,0.308,0.00128089135978371,0.308,-28.9254035949707,0.308,11.5688591003418
1,1,1,2,6.72717132202972,0.304,0.00114413094706833,0.304,-29.4158096313477,0.304,10.9723014831543,7,0.3,0.000993638415820897,0.3,-30.0284233093262,0.3,10.3209390640259
1,1,1,2,7.33603234563737,0.296,0.000831475539598614,0.296,-30.8026866912842,0.296,9.6126651763916,7.5,0.292,0.000763256917707622,0.292,-31.1745433807373,0.292,9.3095178604126
